,Teachings,Period,Professor,Course,Anno,Sede,CAMPUS,PDS_COD,room_size,Partition,k,grappolo,qualifica,k,Course_ID
77,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2C_LT40_M-R,II Semestre,11347282,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SCI,3,M-R,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
78,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1A_LT40_S-Z,I Semestre,11347282,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,S-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
79,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1A_LT40_Tutti,I Semestre,11347282,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SEA1
80,ESERCITAZIONI DI LINGUA CINESE 2 MOD.2A_LT40_A-C,II Semestre,11347282,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,A-C,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_C2
81,ESERCITAZIONI DI LINGUA CINESE 2 MOD.1A_LT40_A-C,I Semestre,11347282,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,A-C,1,a scelta,Collaboratrice ed Esperta Linguistica,,LT40_C2
82,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2D_LT40_M-Z,II Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,8,M-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
83,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2D_LT40_Tutti,II Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SEA,8,Tutti,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SEA1
84,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2B_LT40_P-Z,II Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,P-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
85,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2B_LT40_Tutti,II Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SEA1
86,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2B_LT40_A-E,II Semestre,24206482,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,A-E,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
87,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1B_LT40_F-O,I Semestre,24206482,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SCI,8,F-O,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
88,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1D_LT40_M-Z,I Semestre,24206482,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SCI,8,M-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
89,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1D_LT40_Tutti,I Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SEA,8,Tutti,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SEA1
90,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1D_LT40_A-L,I Semestre,24206482,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),SCI,8,A-L,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
91,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2B_LT40_F-O,II Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,5,F-O,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
92,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1B_LT40_P-Z,I Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,P-Z,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
93,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1B_LT40_Tutti,I Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Magazzino 5),SEA,5,Tutti,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SEA1
94,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 1B_LT40_A-E,I Semestre,24206482,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,A-E,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_SCI2
95,ESERCITAZIONI DI LINGUA CINESE 1 MOD. 2D_LT40_A-L,II Semestre,24206482,LT40,1,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,8,A-L,1,Obbligatorio,Collaboratrice ed Esperta Linguistica,,LT40_C1
96,LINGUA CINESE 1 MOD. 1_LT40_D-L,I Semestre,25248334,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),SCI,5,D-L,3,Obbligatorio,Docente a contratto,,LT40_SCI2
97,LINGUA CINESE MOD. 2_LT40,II Semestre,25248334,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),K,8,NO,3,a scelta,Docente a contratto,,LT40_K2
98,LINGUA CINESE 3 MOD. 2_LT40_Classe 2 M-Z,II Semestre,25248334,LT40,3,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,8,Classe 2 M-Z,3,a scelta,Docente a contratto,,LT40_C3
99,LINGUA CINESE 3 MOD. 2_LT40_Classe 2 A-L,II Semestre,25248334,LT40,3,VENEZIA,Polo didattico San Basilio (Architettura temporanea),C,8,Classe 2 A-L,3,a scelta,Docente a contratto,,LT40_C3
